respid,comtype2,smuse_fb,smuse_yt,smuse_x,smuse_ig,smuse_sc,smuse_tt,smuse_rd,smuse_bsk,smuse_th,smuse_ts,relig,educcat,party,hisp,racethn,agecat,birthplace,gender,adults,inc_sdt1,cregion,metro
4300,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,1,1,3,4,4,2,99,99,1,1
5576,1,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,12,2,1,2,1,1,1,1,3,1,4,1
10902,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,99,1,3,4,4,2,2,5,4,1
5825,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,2,1,4,1,2,1,8,3,1
11230,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1,2,2,4,1,1,2,1,3,1,1
14744,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,3,1,1,2,8,2,1
3890,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,3,1,1,2,8,2,1
6547,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,4,1,2,1,2,2,2
5122,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,2,1,2,1,7,3,2
17549,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,12,2,3,2,1,3,1,2,2,1,3,1
15273,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,2,2,1,4,1,2,2,8,4,1
17405,99,1.0,2.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,99,2,1,4,1,2,1,4,4,1
13063,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,1,2,2,1,3,1,2,2,7,2,1
17585,3,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,12,2,2,2,2,3,1,2,2,4,3,2
18706,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,1,2,1,3,1,1,99,4,4,1
855,3,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2,3,2,1,3,2,1,2,2,1,4,1
12919,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3,2,1,3,3,1,2,2,3,3,1
5970,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,4,4,1,2,1,4,3,1
11753,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1,1,2,1,1,1,1,2,5,4,1
10825,2,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,3,2,1,4,1,1,1,5,2,1
16939,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,3,2,1,4,1,1,2,2,4,1
11904,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,1,2,1,4,1,1,2,8,4,1
17851,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,2,1,3,3,2,2,1,4,3,1
6239,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5,2,1,2,1,3,1,2,2,5,3,1
7035,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,4,1,1,2,2,3,2
78,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7,1,4,2,5,4,1,1,5,5,4,1
10962,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,2,2,99,3,1
610,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,99,2,1,4,1,1,2,5,3,1
13422,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,4,1,3,3,4,2,5,2,4,1
17387,3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,1,2,1,1,4,1
11163,2,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2,1,1,2,5,3,4,2,99,8,1,1
16776,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12,2,3,2,1,1,1,1,4,8,4,1
2221,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,2,4,3,2,1,1,3,1
925,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,12,2,4,2,5,3,4,1,3,2,3,1
1635,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,1,3,4,4,1,2,3,4,1
6272,3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2,1,2,1,2,1,2,2,5,2,2
13098,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,4,1,1,1,3,4,1
12647,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,3,2,1,3,1,2,1,1,2,2
16817,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5,2,1,2,1,2,1,2,5,8,3,1
11751,2,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,12,2,3,2,1,1,1,1,2,5,2,2
7200,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,2,1,2,1,4,1,1,2,99,1,1
14386,1,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,3,1,3,1,1,1,3,3,2,1
12734,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9,1,2,2,1,2,1,1,2,8,1,1
16856,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,2,1,4,1,2,2,2,3,1
13603,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,1,2,1,4,1,2,1,2,1,1
12642,2,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,2,1,3,3,1,1,3,2,3,1
15768,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,3,1,1,2,6,4,1
13169,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,12,2,1,2,5,1,4,2,4,2,3,1
3121,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,12,1,2,2,5,1,4,2,1,5,3,1
18026,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2,2,1,3,3,4,1,2,5,4,1
12621,2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,2,1,1,2,8,3,1
4058,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,1,3,4,1,2,2,6,4,1
8965,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,11,2,2,2,2,1,1,1,3,3,3,1
56,2,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3,2,1,3,3,4,2,2,1,3,1
1851,1,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,1,2,1,3,1,1
1085,3,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,1,2,1,3,1,1,2,8,3,2
16242,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,4,1,1,2,3,3,1
7769,3,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,12,2,2,2,1,2,1,2,1,1,1,2
