RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
1598,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,10,1,3,2,1,1,2,1,1,2,8,3,1,0.802200473100524,0.5839163571908784
15118,10,3,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,1,1,1,4,5,2,1,1.2033007096507862,5.454124253915292
2190,2,1,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,12,1,4,2,2,2,3,1,1,2,6,2,1,1.154727337430026,0.7344786870518051
18505,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,2,3,2,1,1,4,1,1,2,7,2,1,1.604400946201048,0.5918857322600706
11746,10,2,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,3,1,1,3,3,1,1,2,1,3,1,0.802200473100524,0.5330949205167188
2097,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,2,1,2,3,1,0.802200473100524,0.5220312096014483
17319,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,1,3,2,1,1,4,4,2,2,7,2,1,1.604400946201048,0.3348804982187383
11165,10,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,3,2,2,1,1,4,1,2,1,1,4,2,0.802200473100524,0.5629025862157896
7832,10,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,4,1,1,3,2,4,2,1,4,4,1,0.401100236550262,1.0747661248556208
558,10,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,2,2,1,1,2,1,2,2,8,2,1,0.802200473100524,0.6249856211233936
